frame_number,track_id,cy,event
184,8,391,UPDATE
185,3,468,UPDATE
185,6,390,UPDATE
185,7,393,UPDATE
185,8,392,UPDATE
186,3,468,UPDATE
186,6,391,UPDATE
186,7,392,UPDATE
186,8,391,UPDATE
187,3,467,UPDATE
187,6,391,UPDATE
187,7,391,UPDATE
187,8,396,UPDATE
188,3,466,UPDATE
188,6,392,UPDATE
188,7,391,UPDATE
188,8,394,UPDATE
189,3,467,UPDATE
189,6,392,UPDATE
189,7,392,UPDATE
189,8,393,UPDATE
190,3,468,UPDATE
190,6,393,UPDATE
190,7,392,UPDATE
190,8,392,UPDATE
191,3,467,UPDATE
191,6,393,UPDATE
191,7,392,UPDATE
191,8,391,UPDATE
192,3,467,UPDATE
192,6,393,UPDATE
192,7,392,UPDATE
192,8,392,UPDATE
193,3,466,UPDATE
193,6,393,UPDATE
193,7,392,UPDATE
193,8,393,UPDATE
194,3,465,UPDATE
194,6,393,UPDATE
194,7,391,UPDATE
194,8,393,UPDATE
195,3,372,UPDATE
195,6,393,UPDATE
195,7,392,UPDATE
195,8,395,UPDATE
196,3,365,UPDATE
196,6,393,UPDATE
196,7,394,UPDATE
196,8,394,UPDATE
197,3,358,UPDATE
197,6,392,UPDATE
197,7,395,UPDATE
197,8,396,UPDATE
198,3,352,UPDATE
198,6,393,UPDATE
198,7,396,UPDATE
198,8,395,UPDATE
199,3,438,UPDATE
199,6,394,UPDATE
199,7,397,UPDATE
199,8,396,UPDATE
200,3,452,UPDATE
200,6,393,UPDATE
200,7,397,UPDATE
200,8,396,UPDATE
201,3,458,UPDATE
201,6,393,UPDATE
201,7,397,UPDATE
201,8,395,UPDATE
202,3,462,UPDATE
202,6,395,UPDATE
202,7,396,UPDATE
202,8,394,UPDATE
203,3,463,UPDATE
203,6,395,UPDATE
203,7,396,UPDATE
203,8,394,UPDATE
204,3,464,UPDATE
204,6,394,UPDATE
204,7,397,UPDATE
204,8,392,UPDATE
205,3,467,UPDATE
205,6,394,UPDATE
205,7,398,UPDATE
205,8,392,UPDATE
206,3,467,UPDATE
206,6,395,UPDATE
206,7,401,UPDATE
206,8,393,UPDATE
207,3,468,UPDATE
207,6,395,UPDATE
207,7,403,UPDATE
207,8,393,UPDATE
208,3,467,UPDATE
208,6,396,UPDATE
208,7,404,UPDATE
208,8,394,UPDATE
209,3,467,UPDATE
209,6,395,UPDATE
209,7,407,UPDATE
209,8,394,UPDATE
210,3,468,UPDATE
210,6,394,UPDATE
210,7,409,UPDATE
210,8,394,UPDATE
211,3,467,UPDATE
211,6,395,UPDATE
211,7,411,UPDATE
211,8,394,UPDATE
212,3,467,UPDATE
212,6,394,UPDATE
212,7,412,UPDATE
212,8,393,UPDATE
213,3,464,UPDATE
213,6,396,UPDATE
213,7,413,UPDATE
213,8,393,UPDATE
214,3,466,UPDATE
214,6,394,UPDATE
214,7,414,UPDATE
214,8,394,UPDATE
215,3,466,UPDATE
215,6,395,UPDATE
215,7,413,UPDATE
215,8,395,UPDATE
216,3,465,UPDATE
216,6,394,UPDATE
216,7,414,UPDATE
216,8,395,UPDATE
217,3,467,UPDATE
217,6,396,UPDATE
217,7,417,UPDATE
217,8,398,UPDATE
218,3,457,UPDATE
218,6,398,UPDATE
218,7,419,UPDATE
218,8,402,UPDATE
218,10,383,NEW
219,3,459,UPDATE
219,6,398,UPDATE
219,7,421,UPDATE
219,8,402,UPDATE
219,10,387,UPDATE
220,3,459,UPDATE
220,6,401,UPDATE
220,7,428,UPDATE
220,8,402,UPDATE
220,10,389,UPDATE
221,3,458,UPDATE
221,6,405,UPDATE
221,7,432,UPDATE
221,8,397,UPDATE
221,10,393,UPDATE
222,3,458,UPDATE
222,6,410,UPDATE
222,7,434,UPDATE
222,8,397,UPDATE
222,10,391,UPDATE
223,3,457,UPDATE
223,6,416,UPDATE
223,7,435,UPDATE
223,8,397,UPDATE
223,10,392,UPDATE
224,3,462,UPDATE
224,6,421,UPDATE
224,7,435,UPDATE
224,8,397,UPDATE
224,10,393,UPDATE
225,3,461,UPDATE
225,6,425,UPDATE
225,7,436,UPDATE
225,8,397,UPDATE
225,10,394,UPDATE
226,3,461,UPDATE
226,6,428,UPDATE
226,7,443,UPDATE
226,8,397,UPDATE
226,10,399,UPDATE
227,3,460,UPDATE
227,6,430,UPDATE
227,7,447,UPDATE
227,8,397,UPDATE
227,10,405,UPDATE
228,3,460,UPDATE
228,6,431,UPDATE
228,7,450,UPDATE
228,8,398,UPDATE
228,10,409,UPDATE
229,3,460,UPDATE
229,6,430,UPDATE
229,7,453,UPDATE
229,8,398,UPDATE
229,10,410,UPDATE
230,3,459,UPDATE
230,6,429,UPDATE
230,7,455,UPDATE
230,8,398,UPDATE
230,10,410,UPDATE
231,3,459,UPDATE
231,6,430,UPDATE
231,7,457,UPDATE
231,8,398,UPDATE
231,10,413,UPDATE
232,3,458,UPDATE
232,6,432,UPDATE
232,7,458,UPDATE
232,8,398,UPDATE
232,10,417,UPDATE
233,3,458,UPDATE
233,6,434,UPDATE
233,7,460,UPDATE
233,8,398,UPDATE
233,10,421,UPDATE
234,3,457,UPDATE
234,6,435,UPDATE
234,7,465,UPDATE
234,8,357,UPDATE
234,10,420,UPDATE
235,3,457,UPDATE
235,6,440,UPDATE
235,7,472,UPDATE
235,8,356,UPDATE
235,10,407,UPDATE
236,3,456,UPDATE
236,6,443,UPDATE
236,7,475,UPDATE
236,8,354,UPDATE
236,10,412,UPDATE
237,3,456,UPDATE
237,6,445,UPDATE
237,7,477,UPDATE
237,8,353,UPDATE
237,10,415,UPDATE
238,3,456,UPDATE
238,6,447,UPDATE
238,7,477,UPDATE
238,8,352,UPDATE
238,10,429,UPDATE
239,3,455,UPDATE
239,6,447,UPDATE
239,7,477,UPDATE
239,8,350,UPDATE
239,10,436,UPDATE
240,6,457,UPDATE
240,7,477,UPDATE
240,8,349,UPDATE
240,10,442,UPDATE
241,6,465,UPDATE
241,7,478,UPDATE
241,8,347,UPDATE
241,10,446,UPDATE
242,6,468,UPDATE
242,7,479,UPDATE
242,8,346,UPDATE
242,10,447,UPDATE
243,6,471,UPDATE
243,7,479,UPDATE
243,8,345,UPDATE
243,10,440,UPDATE
244,6,473,UPDATE
244,7,480,UPDATE
244,8,343,UPDATE
244,10,438,UPDATE
245,6,474,UPDATE
245,7,479,UPDATE
245,8,342,UPDATE
245,10,431,UPDATE
246,6,475,UPDATE
246,7,479,UPDATE
246,8,340,UPDATE
246,10,434,UPDATE
247,6,475,UPDATE
247,7,479,UPDATE
247,8,339,UPDATE
247,10,433,UPDATE
248,6,473,UPDATE
248,7,480,UPDATE
248,8,338,UPDATE
248,10,435,UPDATE
248,11,475,NEW
249,6,474,UPDATE
249,7,479,UPDATE
249,8,336,UPDATE
249,10,433,UPDATE
249,11,485,UPDATE
250,6,475,UPDATE
250,7,478,UPDATE
250,10,432,UPDATE
250,11,486,UPDATE
251,6,474,UPDATE
251,7,479,UPDATE
251,10,431,UPDATE
251,11,486,UPDATE
252,6,476,UPDATE
252,7,479,UPDATE
252,10,436,UPDATE
252,11,485,UPDATE
253,6,477,UPDATE
253,7,480,UPDATE
253,10,442,UPDATE
253,11,482,UPDATE
254,6,477,UPDATE
254,7,479,UPDATE
254,10,453,UPDATE
254,11,483,UPDATE
255,6,477,UPDATE
255,7,479,UPDATE
255,10,446,UPDATE
255,11,482,UPDATE
256,6,478,UPDATE
256,7,479,UPDATE
256,10,459,UPDATE
256,11,481,UPDATE
257,6,478,UPDATE
257,7,478,UPDATE
257,10,454,UPDATE
257,11,481,UPDATE
258,6,477,UPDATE
258,7,478,UPDATE
258,10,463,UPDATE
258,11,482,UPDATE
259,6,477,UPDATE
259,7,478,UPDATE
259,10,470,UPDATE
259,11,483,UPDATE
260,6,478,UPDATE
260,7,478,UPDATE
260,10,475,UPDATE
260,11,483,UPDATE
261,6,478,UPDATE
261,7,477,UPDATE
261,10,477,UPDATE
261,11,483,UPDATE
262,6,478,UPDATE
262,7,478,UPDATE
262,10,477,UPDATE
262,11,485,UPDATE
263,6,479,UPDATE
263,7,479,UPDATE
263,10,477,UPDATE
263,11,483,UPDATE
264,6,479,UPDATE
264,7,479,UPDATE
264,10,478,UPDATE
264,11,482,UPDATE
265,6,479,UPDATE
265,7,479,UPDATE
265,10,478,UPDATE
265,11,482,UPDATE
266,6,479,UPDATE
266,7,478,UPDATE
266,10,475,UPDATE
266,11,481,UPDATE
267,6,479,UPDATE
267,7,478,UPDATE
267,10,475,UPDATE
267,11,482,UPDATE
267,12,477,NEW
268,6,479,UPDATE
268,7,478,UPDATE
268,10,476,UPDATE
268,11,483,UPDATE
268,12,477,UPDATE
269,6,479,UPDATE
269,7,478,UPDATE
269,10,477,UPDATE
269,11,483,UPDATE
269,12,482,UPDATE
270,6,479,UPDATE
270,7,478,UPDATE
270,10,478,UPDATE
270,11,483,UPDATE
270,12,482,UPDATE
271,6,477,UPDATE
271,7,477,UPDATE
271,10,479,UPDATE
271,11,482,UPDATE
271,12,484,UPDATE
272,6,477,UPDATE
272,7,476,UPDATE
272,10,480,UPDATE
272,11,481,UPDATE
272,12,485,UPDATE
273,6,476,UPDATE
273,7,476,UPDATE
273,10,481,UPDATE
273,11,480,UPDATE
273,12,486,UPDATE
274,6,476,UPDATE
274,7,475,UPDATE
274,10,482,UPDATE
274,11,480,UPDATE
274,12,487,UPDATE
274,13,472,NEW
275,6,476,UPDATE
275,7,475,UPDATE
275,10,483,UPDATE
275,11,481,UPDATE
275,12,488,UPDATE
275,13,471,UPDATE
276,6,477,UPDATE
276,7,474,UPDATE
276,10,484,UPDATE
276,11,482,UPDATE
276,12,489,UPDATE
276,13,470,UPDATE
277,6,477,UPDATE
277,7,474,UPDATE
277,10,484,UPDATE
277,11,483,UPDATE
277,12,490,UPDATE
277,13,467,UPDATE
278,6,478,UPDATE
278,7,473,UPDATE
278,10,485,UPDATE
278,11,484,UPDATE
278,12,490,UPDATE
278,13,467,UPDATE
279,6,478,UPDATE
279,7,473,UPDATE
279,10,486,UPDATE
279,11,485,UPDATE
279,12,491,UPDATE
279,13,467,UPDATE
